Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nebraska,"43,245",±303,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Nebraska,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Nebraska,"1,923,866",±498,"1,923,866",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"1,769,471","±3,775",92.0%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Nebraska,"1,448,945","±6,204",75.3%,±0.3,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Nebraska,"552,066","±4,619",28.7%,±0.2,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"154,395","±3,755",8.0%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Nebraska,"513,124","±1,012","513,124",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"27,606","±1,706",5.4%,±0.3,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Nebraska,"1,114,441","±1,274","1,114,441",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Nebraska,"938,028","±2,535","938,028",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Nebraska,"910,116","±2,884","910,116",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"825,246","±3,176",90.7%,±0.3,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Nebraska,"793,019","±3,468",87.1%,±0.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Nebraska,"56,262","±1,542",6.2%,±0.2,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"84,870","±2,389",9.3%,±0.3,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Nebraska,"27,912","±1,339","27,912",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"18,322","±1,041",65.6%,±2.3,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Nebraska,"13,129",±882,47.0%,±2.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Nebraska,"6,296",±635,22.6%,±2.0,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"9,590",±809,34.4%,±2.3,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Nebraska,"176,413","±2,469","176,413",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"145,504","±2,347",82.5%,±0.8,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Nebraska,"100,072","±2,152",56.7%,±0.9,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Nebraska,"59,275","±1,616",33.6%,±0.8,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Nebraska,"30,909","±1,462",17.5%,±0.8,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Nebraska,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),6.6%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),10.4%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),11.5%,±1.2,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),3.2%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),4.3%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),3.7%,±0.9,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),22.6%,±1.1,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),29.2%,±1.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),37.7%,±4.6,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),10.3%,±0.3,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),12.1%,±0.5,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),11.6%,±0.5,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),13.9%,±0.9,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),10.7%,±0.5,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),9.7%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),10.1%,±0.2,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),8.0%,±0.3,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),7.1%,±0.3,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nebraska,(X),(X),22.6%,±0.5,2021
EMPLOYMENT STATUS,Header,Nevada,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Nevada,"2,443,108","±1,471","2,443,108",(X),2021
        In labor force,EMPLOYMENT STATUS,Nevada,"1,549,597","±5,060",63.4%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Nevada,"1,538,959","±5,099",63.0%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Nevada,"1,429,447","±5,211",58.5%,±0.2,2021
                Unemployed,EMPLOYMENT STATUS,Nevada,"109,512","±2,680",4.5%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Nevada,"10,638",±984,0.4%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Nevada,"893,511","±4,880",36.6%,±0.2,2021
    Civilian labor force,EMPLOYMENT STATUS,Nevada,"1,538,959","±5,099","1,538,959",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Nevada,(X),(X),7.1%,±0.2,2021
Females 16 years and over,EMPLOYMENT STATUS,Nevada,"1,215,518","±1,032","1,215,518",(X),2021
        In labor force,EMPLOYMENT STATUS,Nevada,"711,954","±3,221",58.6%,±0.3,2021
            Civilian labor force,EMPLOYMENT STATUS,Nevada,"709,941","±3,302",58.4%,±0.3,2021
                Employed,EMPLOYMENT STATUS,Nevada,"659,164","±3,424",54.2%,±0.3,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Nevada,"208,539","±1,895","208,539",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Nevada,"134,684","±2,316",64.6%,±1.1,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Nevada,"447,225","±2,204","447,225",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Nevada,"315,583","±3,906",70.6%,±0.8,2021
COMMUTING TO WORK,Header,Nevada,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Nevada,"1,406,731","±5,471","1,406,731",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Nevada,"1,058,165","±6,592",75.2%,±0.3,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Nevada,"148,796","±3,474",10.6%,±0.2,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Nevada,"37,328","±1,921",2.7%,±0.1,2021
        Walked,COMMUTING TO WORK,Nevada,"22,343","±1,098",1.6%,±0.1,2021
        Other means,COMMUTING TO WORK,Nevada,"35,845","±1,511",2.5%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Nevada,"104,254","±2,582",7.4%,±0.2,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Nevada,24.7,±0.2,(X),(X),2021
OCCUPATION,Header,Nevada,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Nevada,"1,429,447","±5,211","1,429,447",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Nevada,"452,720","±5,468",31.7%,±0.4,2021
        Service occupations,OCCUPATION,Nevada,"349,675","±4,807",24.5%,±0.3,2021
        Sales and office occupations,OCCUPATION,Nevada,"320,796","±3,850",22.4%,±0.3,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Nevada,"131,231","±2,658",9.2%,±0.2,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Nevada,"175,025","±3,526",12.2%,±0.2,2021
INDUSTRY,Header,Nevada,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Nevada,"1,429,447","±5,211","1,429,447",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Nevada,"19,870","±1,225",1.4%,±0.1,2021
        Construction,INDUSTRY,Nevada,"106,802","±3,058",7.5%,±0.2,2021
        Manufacturing,INDUSTRY,Nevada,"71,225","±2,624",5.0%,±0.2,2021
        Wholesale trade,INDUSTRY,Nevada,"28,386","±1,757",2.0%,±0.1,2021
        Retail trade,INDUSTRY,Nevada,"164,069","±3,517",11.5%,±0.2,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Nevada,"93,914","±2,930",6.6%,±0.2,2021
        Information,INDUSTRY,Nevada,"21,731","±1,516",1.5%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Nevada,"82,334","±2,093",5.8%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Nevada,"165,311","±3,159",11.6%,±0.2,2021
"        Educational services, and health care and social assistance",INDUSTRY,Nevada,"239,111","±3,934",16.7%,±0.3,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Nevada,"310,206","±4,427",21.7%,±0.3,2021
"        Other services, except public administration",INDUSTRY,Nevada,"65,052","±2,390",4.6%,±0.2,2021
        Public administration,INDUSTRY,Nevada,"61,436","±2,291",4.3%,±0.2,2021
CLASS OF WORKER,Header,Nevada,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Nevada,"1,429,447","±5,211","1,429,447",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Nevada,"1,172,360","±5,908",82.0%,±0.3,2021
        Government workers,CLASS OF WORKER,Nevada,"176,870","±3,672",12.4%,±0.3,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Nevada,"77,507","±2,290",5.4%,±0.2,2021
        Unpaid family workers,CLASS OF WORKER,Nevada,"2,710",±612,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Nevada,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"1,141,952","±2,588","1,141,952",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"67,384","±2,172",5.9%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"37,503","±1,531",3.3%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"87,210","±2,241",7.6%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"98,794","±2,789",8.7%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"141,567","±2,759",12.4%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"207,426","±3,232",18.2%,±0.3,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"155,803","±2,692",13.6%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"186,672","±3,255",16.3%,±0.3,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"81,718","±2,217",7.2%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"77,875","±1,992",6.8%,±0.2,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"65,686",±488,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"89,562",±738,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"886,760","±3,484",77.7%,±0.2,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"88,646",±816,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"346,123","±2,799",30.3%,±0.2,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"20,570",±180,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"249,601","±2,925",21.9%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"32,449",±679,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"46,912","±1,738",4.1%,±0.2,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"10,711",±223,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"37,085","±1,311",3.2%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"3,779",±203,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"134,616","±2,556",11.8%,±0.2,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"728,429","±4,267","728,429",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"26,239","±1,445",3.6%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"12,713",±970,1.7%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"38,744","±1,423",5.3%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"52,804","±2,010",7.2%,±0.3,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"82,753","±2,280",11.4%,±0.3,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"134,709","±3,027",18.5%,±0.4,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"112,613","±2,704",15.5%,±0.3,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"140,718","±3,031",19.3%,±0.4,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"64,654","±1,995",8.9%,±0.3,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"62,482","±1,925",8.6%,±0.2,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"78,456",±673,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"102,444",±991,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"34,621",±269,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"413,523","±3,951","413,523",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"42,443",±545,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"61,275","±1,074",(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"36,800",±268,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"51,292",±511,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Nevada,"43,487",±357,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Nevada,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Nevada,"3,022,441",±984,"3,022,441",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"2,681,547","±6,677",88.7%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Nevada,"1,956,012","±11,702",64.7%,±0.4,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Nevada,"1,047,799","±8,274",34.7%,±0.3,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"340,894","±6,577",11.3%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Nevada,"728,516","±1,240","728,516",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"57,862","±2,647",7.9%,±0.4,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Nevada,"1,815,560","±1,827","1,815,560",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Nevada,"1,417,571","±4,448","1,417,571",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Nevada,"1,321,774","±4,606","1,321,774",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"1,143,729","±5,606",86.5%,±0.3,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Nevada,"1,044,213","±6,327",79.0%,±0.4,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Nevada,"141,621","±2,956",10.7%,±0.2,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"178,045","±3,967",13.5%,±0.3,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Nevada,"95,797","±2,311","95,797",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"70,668","±2,093",73.8%,±1.4,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Nevada,"38,743","±1,659",40.4%,±1.4,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Nevada,"34,801","±1,484",36.3%,±1.4,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"25,129","±1,462",26.2%,±1.4,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Nevada,"397,989","±4,391","397,989",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"324,437","±3,718",81.5%,±0.5,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Nevada,"192,895","±3,946",48.5%,±0.9,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Nevada,"158,752","±3,458",39.9%,±0.8,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Nevada,"73,552","±2,490",18.5%,±0.5,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Nevada,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),9.1%,±0.3,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),14.2%,±0.5,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),12.9%,±1.1,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),5.1%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),7.1%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),5.5%,±1.0,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),22.0%,±0.9,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),29.9%,±1.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),30.3%,±3.5,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),12.9%,±0.3,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),17.5%,±0.6,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),17.1%,±0.6,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),19.1%,±0.9,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),16.4%,±0.6,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),11.5%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),12.0%,±0.3,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),9.8%,±0.4,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),10.1%,±0.3,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Nevada,(X),(X),23.2%,±0.4,2021
EMPLOYMENT STATUS,Header,New Hampshire,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,New Hampshire,"1,144,768",±828,"1,144,768",(X),2021
        In labor force,EMPLOYMENT STATUS,New Hampshire,"769,793","±3,252",67.2%,±0.3,2021
            Civilian labor force,EMPLOYMENT STATUS,New Hampshire,"767,453","±3,327",67.0%,±0.3,2021
                Employed,EMPLOYMENT STATUS,New Hampshire,"738,506","±3,377",64.5%,±0.3,2021
                Unemployed,EMPLOYMENT STATUS,New Hampshire,"28,947","±1,369",2.5%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,New Hampshire,"2,340",±541,0.2%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,New Hampshire,"374,975","±3,146",32.8%,±0.3,2021
    Civilian labor force,EMPLOYMENT STATUS,New Hampshire,"767,453","±3,327","767,453",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,New Hampshire,(X),(X),3.8%,±0.2,2021
Females 16 years and over,EMPLOYMENT STATUS,New Hampshire,"577,282",±679,"577,282",(X),2021
        In labor force,EMPLOYMENT STATUS,New Hampshire,"364,324","±2,179",63.1%,±0.4,2021
            Civilian labor force,EMPLOYMENT STATUS,New Hampshire,"364,021","±2,159",63.1%,±0.4,2021
                Employed,EMPLOYMENT STATUS,New Hampshire,"351,750","±2,235",60.9%,±0.4,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,New Hampshire,"74,033",±908,"74,033",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,New Hampshire,"53,979","±1,236",72.9%,±1.4,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,New Hampshire,"174,467","±1,196","174,467",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,New Hampshire,"133,948","±2,079",76.8%,±1.0,2021
COMMUTING TO WORK,Header,New Hampshire,,,,,2021
